source,dataset,source_key,source_role,geo_level,municipality,province,period_year,period_month,crime_group,crime_type,measure,value,source_file
PBA victimas contra las personas por municipio,PBA victimas contra las personas por municipio,pba_personas_municipio,context_control,municipio,Hurlingham,Buenos Aires,2014,,homicidio,Total de víctimas de homicidios dolosos,cantidad_victimas,9,data\raw\crime\pba_victimas_personas_municipio.xlsx
PBA victimas contra las personas por municipio,PBA victimas contra las personas por municipio,pba_personas_municipio,context_control,municipio,Hurlingham,Buenos Aires,2014,,lesiones,Total de víctimas de lesiones dolosas,cantidad_victimas,1162,data\raw\crime\pba_victimas_personas_municipio.xlsx
PBA victimas contra las personas por municipio,PBA victimas contra las personas por municipio,pba_personas_municipio,context_control,municipio,Hurlingham,Buenos Aires,2014,,integridad_sexual,Total de víctimas de otros delitos contra la integridad sexual,cantidad_victimas,34,data\raw\crime\pba_victimas_personas_municipio.xlsx
PBA victimas contra las personas por municipio,PBA victimas contra las personas por municipio,pba_personas_municipio,context_control,municipio,Hurlingham,Buenos Aires,2014,,integridad_sexual,Total de víctimas de violaciones,cantidad_victimas,1,data\raw\crime\pba_victimas_personas_municipio.xlsx
PBA victimas contra las personas por municipio,PBA victimas contra las personas por municipio,pba_personas_municipio,context_control,municipio,Hurlingham,Buenos Aires,2015,,homicidio,Total de víctimas de homicidios dolosos,cantidad_victimas,16,data\raw\crime\pba_victimas_personas_municipio.xlsx
PBA victimas contra las personas por municipio,PBA victimas contra las personas por municipio,pba_personas_municipio,context_control,municipio,Hurlingham,Buenos Aires,2015,,lesiones,Total de víctimas de lesiones dolosas,cantidad_victimas,1089,data\raw\crime\pba_victimas_personas_municipio.xlsx
PBA victimas contra las personas por municipio,PBA victimas contra las personas por municipio,pba_personas_municipio,context_control,municipio,Hurlingham,Buenos Aires,2015,,integridad_sexual,Total de víctimas de otros delitos contra la integridad sexual,cantidad_victimas,21,data\raw\crime\pba_victimas_personas_municipio.xlsx
PBA victimas contra las personas por municipio,PBA victimas contra las personas por municipio,pba_personas_municipio,context_control,municipio,Hurlingham,Buenos Aires,2015,,integridad_sexual,Total de víctimas de violaciones,cantidad_victimas,3,data\raw\crime\pba_victimas_personas_municipio.xlsx
PBA victimas contra las personas por municipio,PBA victimas contra las personas por municipio,pba_personas_municipio,context_control,municipio,Hurlingham,Buenos Aires,2016,,homicidio,Total de víctimas de homicidios dolosos,cantidad_victimas,7,data\raw\crime\pba_victimas_personas_municipio.xlsx
PBA victimas contra las personas por municipio,PBA victimas contra las personas por municipio,pba_personas_municipio,context_control,municipio,Hurlingham,Buenos Aires,2016,,lesiones,Total de víctimas de lesiones dolosas,cantidad_victimas,576,data\raw\crime\pba_victimas_personas_municipio.xlsx
