source_text_normalized,canonical_name,canonical_zone,canonical_locality,match_type,notes
barrio ingles,Hurlingham Centro (Barrio Ingles),Hurlingham Centro (Barrio Ingles),Hurlingham,zona,Alias equivalente a la zona unificada.
ingles,Hurlingham Centro (Barrio Ingles),Hurlingham Centro (Barrio Ingles),Hurlingham,zona,Alias equivalente a la zona unificada.
hurlingham centro barrio ingles,Hurlingham Centro (Barrio Ingles),Hurlingham Centro (Barrio Ingles),Hurlingham,zona,Alias equivalente a la zona unificada.
barrio federal,Federal,Federal,Villa Tesei,zona,
federal,Federal,Federal,Villa Tesei,zona,
plan federal,Federal,Federal,Villa Tesei,zona,
barrio 294,Federal,Federal,Villa Tesei,zona,
nuevo mitre,Federal,Federal,Villa Tesei,alias_revisar,Revisar: en fuentes periodísticas Barrio Federal aparece asociado a Barrio Mitre/Villa Tesei.
villa santos tesei,Villa Tesei Centro,Villa Tesei Centro,Villa Tesei,zona,
santos tesei,Villa Tesei Centro,Villa Tesei Centro,Villa Tesei,zona,
centro villa tesei,Villa Tesei Centro,Villa Tesei Centro,Villa Tesei,zona,
villa tesei centro,Villa Tesei Centro,Villa Tesei Centro,Villa Tesei,zona,
parque johnston,Parque Jhonston,Parque Jhonston,Hurlingham,zona,
parque jhonston,Parque Jhonston,Parque Jhonston,Hurlingham,zona,
lasalle,Juan B. de Lasalle,Juan B. de Lasalle,Hurlingham,zona,
juan b de lasalle,Juan B. de Lasalle,Juan B. de Lasalle,Hurlingham,zona,
9 de julio,Nueve de Julio,Nueve de Julio,Hurlingham,zona,
nueve de julio,Nueve de Julio,Nueve de Julio,Hurlingham,zona,
hurlingham centro,Hurlingham Centro (Barrio Ingles),Hurlingham Centro (Barrio Ingles),Hurlingham,zona,Nombre anterior de la zona unificada.
barrio ingles hurlingham,Hurlingham Centro (Barrio Ingles),Hurlingham Centro (Barrio Ingles),Hurlingham,zona,Alias inmobiliario frecuente.
hurlingham barrio ingles,Hurlingham Centro (Barrio Ingles),Hurlingham Centro (Barrio Ingles),Hurlingham,zona,Alias inmobiliario frecuente.
hurlingham centro ingles,Hurlingham Centro (Barrio Ingles),Hurlingham Centro (Barrio Ingles),Hurlingham,zona,Alias inmobiliario frecuente.
b ingles,Hurlingham Centro (Barrio Ingles),Hurlingham Centro (Barrio Ingles),Hurlingham,zona,Abreviatura posible.
parque quirno,Parque Quirno,Parque Quirno,Hurlingham,zona,
cartero,Cartero,Cartero,Hurlingham,zona,
los patitos,Los Patitos,Los Patitos,William C. Morris,zona,
