"﻿""layer_name""",file_path,source_name,source_url,downloaded_at,license,geometry_type,feature_count,crs,spatial_precision,temporal_coverage,data_confidence,notes
zones,data\geo\zones\zones_hurlingham.geojson,OpenStreetMap Overpass API,,2026-06-13T00:57:25.261787+00:00,See original source metadata,Polygon,42,EPSG:4326,varies,,medium,Normalized copy of data\geo\Zonas_Hurlingham_polygons.geojson
security_points,data\geo\security\security_points_hurlingham.geojson,Hurlingham Municipio / OSM / PBA,,2026-06-13T00:57:25.261787+00:00,See original source metadata,Point,889,EPSG:4326,varies,,high,Normalized copy of data\geo\security_points_hurlingham.geojson
security_zones,data\geo\security\security_zones_hurlingham.geojson,Generated local security pipeline,,2026-06-13T00:57:25.261787+00:00,See original source metadata,Polygon,42,EPSG:4326,varies,,high,Normalized copy of data\geo\security_zones_hurlingham.geojson
crime_zones,data\geo\crime\crime_zones_hurlingham.geojson,SNIC / SAT / PBA municipal datasets,,2026-06-13T00:57:25.261787+00:00,See original source metadata,Polygon,42,EPSG:4326,varies,,medium,Normalized copy of data\geo\crime_zones_hurlingham.geojson
crime_homicide_points,data\geo\crime\crime_homicide_radio_points_hurlingham.geojson,SAT-HD radio centroids,,2026-06-13T00:57:25.261787+00:00,See original source metadata,Point,48,EPSG:4326,varies,,low,Normalized copy of data\geo\crime_homicide_radio_points_hurlingham.geojson
arba_departamento,data\geo\admin\arba_departamento_hurlingham.geojson,ARBA GeoARBA,https://www.arba.gov.ar/geoarba/inicio.asp,2026-06-13T00:57:25.261787+00:00,Public official geospatial data; cite ARBA/GeoARBA. Commercialization restrictions may apply according to IDEBA notice.,Polygon,1,EPSG:4326,catastro_partido,,high,
arba_circunscripcion,data\geo\parcels\circunscripcion_hurlingham.geojson,ARBA GeoARBA,https://www.arba.gov.ar/geoarba/inicio.asp,2026-06-13T00:57:25.261787+00:00,Public official geospatial data; cite ARBA/GeoARBA. Commercialization restrictions may apply according to IDEBA notice.,Polygon,1,EPSG:4326,catastro_partido,,high,
arba_seccion_catastral,data\geo\parcels\seccion_catastral_hurlingham.geojson,ARBA GeoARBA,https://www.arba.gov.ar/geoarba/inicio.asp,2026-06-13T00:57:25.261787+00:00,Public official geospatial data; cite ARBA/GeoARBA. Commercialization restrictions may apply according to IDEBA notice.,"MultiPolygon,Polygon",8,EPSG:4326,catastro_partido,,high,
arba_fraccion,data\geo\parcels\fraccion_hurlingham.geojson,ARBA GeoARBA,https://www.arba.gov.ar/geoarba/inicio.asp,2026-06-13T00:57:25.261787+00:00,Public official geospatial data; cite ARBA/GeoARBA. Commercialization restrictions may apply according to IDEBA notice.,"MultiPolygon,Polygon",30,EPSG:4326,catastro_partido,,high,
arba_chacra,data\geo\parcels\chacra_hurlingham.geojson,ARBA GeoARBA,https://www.arba.gov.ar/geoarba/inicio.asp,2026-06-13T00:57:25.261787+00:00,Public official geospatial data; cite ARBA/GeoARBA. Commercialization restrictions may apply according to IDEBA notice.,"MultiPolygon,Polygon",9,EPSG:4326,catastro_partido,,high,
arba_quinta,data\geo\parcels\quinta_hurlingham.geojson,ARBA GeoARBA,https://www.arba.gov.ar/geoarba/inicio.asp,2026-06-13T00:57:25.261787+00:00,Public official geospatial data; cite ARBA/GeoARBA. Commercialization restrictions may apply according to IDEBA notice.,"MultiPolygon,Polygon",39,EPSG:4326,catastro_partido,,high,
arba_manzana,data\geo\parcels\blocks_hurlingham.geojson,ARBA GeoARBA,https://www.arba.gov.ar/geoarba/inicio.asp,2026-06-13T00:57:25.261787+00:00,Public official geospatial data; cite ARBA/GeoARBA. Commercialization restrictions may apply according to IDEBA notice.,"MultiPolygon,Polygon",1767,EPSG:4326,catastro_partido,,high,
arba_parcela,data\geo\parcels\parcels_hurlingham.geojson,ARBA GeoARBA,https://www.arba.gov.ar/geoarba/inicio.asp,2026-06-13T00:57:25.261787+00:00,Public official geospatial data; cite ARBA/GeoARBA. Commercialization restrictions may apply according to IDEBA notice.,Polygon,42554,EPSG:4326,catastro_partido,,high,
arba_subparcela,data\geo\parcels\subparcels_hurlingham.geojson,ARBA GeoARBA,https://www.arba.gov.ar/geoarba/inicio.asp,2026-06-13T00:57:25.261787+00:00,Public official geospatial data; cite ARBA/GeoARBA. Commercialization restrictions may apply according to IDEBA notice.,Polygon,139,EPSG:4326,catastro_partido,,medium,
arba_medida_lado,data\geo\parcels\parcel_side_measure_points_hurlingham.geojson,ARBA GeoARBA,https://www.arba.gov.ar/geoarba/inicio.asp,2026-06-13T00:57:25.261787+00:00,Public official geospatial data; cite ARBA/GeoARBA. Commercialization restrictions may apply according to IDEBA notice.,Point,175728,EPSG:4326,catastro_partido,,medium,Point layer from ARBA. It is not treated as a validated parcel frontage until cadastral semantics are reviewed.
